district,term,source_file,page,row,y0,y1,column,reading
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,1,3,192,caste,
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,1,3,192,women,
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,2,192,239,caste,(4)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,2,192,239,women,(3)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,3,239,302,caste,Karimpur-I!
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,3,239,302,women,Block
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,4,302,361,caste,Dhoradaha-il (BC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,4,302,361,women,-
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,5,361,422,caste,-
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,5,361,422,women,Natidanga-I
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,6,422,481,caste,Natidanga-{l (SC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,6,422,481,women,Natidanga-ll
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,7,481,541,caste,Dighalkandi (SC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,7,481,541,women,-
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,8,541,599,caste,-
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,8,541,599,women,Narayanpur-l
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,9,599,661,caste,Narayanpur-H! (BC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,9,599,661,women,Narayanpur-Il
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,10,661,720,caste,Karimpur -!
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,10,661,720,women,Block
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,11,720,779,caste,Karimpur-! (SC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,11,720,779,women,“
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,12,779,839,caste,-
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,12,779,839,women,Karimpur-Il
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,13,839,901,caste,-
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,13,839,901,women,Harekrishnapur
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,14,901,960,caste,Madhugari (SC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,14,901,960,women,Madhugari
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,15,960,1020,caste,Shikarpur (SC)
Nadia,2018,nadia_FORM_1B_Prodhan_Upa-Prodhan-06032018_29b77844.pdf,1,15,960,1020,women,-
