state,district,term,block,gram_panchayat,named_in_order,caste_reservation,woman_reserved,printed,match,assigned_by,order,source_file,source_page,source_row,gp_list
West Bengal,South 24 Parganas,2018,BARUIPUR,BEGUMPUR,True,UR,True,Begumpur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,3.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,BELEGACHHIA,True,SC,True,Belegachhi,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,5.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,BRINDAKHALI,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,CHAMPAHATI,True,SC,False,Champahati,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,2.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,DHAPDHAPI-I,True,SC,False,Dhap Dhapi-I,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,12.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,DHAPDHAPI-II,True,BC,True,Dhap Dhapi-II,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,13.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,HARDHAH,True,UR,True,Hardah,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,4.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,HARIHARPUR,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,KALYANPUR,True,UR,True,Kalyanpur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,10.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,MADARAT,True,BC,False,Madarat,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,9.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
